,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,TOTAL_PACKET_SIZE
941,0.0,1.0,101.0,101.0,975.0
942,0.0,-1.0,150.0,150.0,2371.0
943,5.5e-05,-1.0,97.0,244.0,809.0
944,0.049074,-1.0,66.0,3095.0,3095.0
945,0.05221,1.0,66.0,604.0,604.0
946,2.1e-05,1.0,66.0,279.0,607.0
947,0.064035,1.0,105.0,329.0,1051.0
948,0.014382,-1.0,101.0,538.0,604.0
949,0.025433,1.0,223.0,289.0,456.0
950,2e-05,1.0,66.0,167.0,272.0
951,0.004219,1.0,105.0,1342.0,1866.0
952,4.6e-05,-1.0,97.0,238.0,1276.0
953,0.002041,1.0,66.0,386.0,386.0
954,0.002073,-1.0,101.0,596.0,662.0
955,0.027649,1.0,101.0,888.0,2111.0
956,0.006551,1.0,105.0,589.0,1057.0
957,0.040628,-1.0,101.0,735.0,801.0
958,0.002021,-1.0,74.0,148.0,3004.0
959,0.009109,-1.0,97.0,2862.0,3095.0
960,0.003109,1.0,606.0,820.0,3028.0
961,0.003442,1.0,606.0,820.0,3094.0
962,0.053297,1.0,66.0,3030.0,3030.0
963,0.002058,1.0,66.0,214.0,3095.0
964,0.074745,-1.0,74.0,148.0,820.0
965,0.012234,1.0,236.0,1596.0,3005.0
966,0.006224,-1.0,140.0,910.0,2273.0
967,0.060832,-1.0,66.0,4796.0,5060.0
968,0.037353,1.0,568.0,6450.0,7492.0
969,0.051041,-1.0,66.0,3007.0,3007.0
970,0.007883,1.0,66.0,2601.0,3094.0
971,0.062555,1.0,606.0,4546.0,6621.0
972,0.011327,1.0,66.0,3030.0,3096.0
973,0.056747,1.0,74.0,140.0,3094.0
974,0.068824,1.0,66.0,3273.0,4504.0
975,0.01043,1.0,97.0,2696.0,3092.0
976,0.001837,-1.0,278.0,950.0,2879.0
977,0.0,-1.0,66.0,66.0,5089.0
978,0.010146,-1.0,66.0,2762.0,3092.0
979,0.008978,-1.0,66.0,2766.0,3096.0
980,0.065722,1.0,97.0,4973.0,5303.0
981,0.018824,1.0,105.0,399.0,566.0
982,0.060158,1.0,66.0,233.0,233.0
983,0.001802,1.0,66.0,471.0,1023.0
984,0.002093,-1.0,101.0,405.0,471.0
985,0.050168,1.0,66.0,679.0,679.0
986,0.083048,-1.0,101.0,395.0,461.0
987,0.002182,1.0,66.0,391.0,391.0
988,0.002183,-1.0,150.0,282.0,1181.0
989,0.012877,-1.0,101.0,538.0,604.0
990,0.024968,1.0,225.0,291.0,734.0
991,0.031036,-1.0,66.0,1652.0,2699.0
992,7.8e-05,-1.0,105.0,349.0,979.0
993,0.013398,-1.0,66.0,791.0,2436.0
994,0.074039,-1.0,101.0,326.0,392.0
995,0.063407,1.0,66.0,670.0,670.0
996,0.004571,-1.0,150.0,1079.0,1743.0
997,0.008609,-1.0,66.0,2590.0,7574.0
998,0.024846,1.0,66.0,458.0,839.0
999,0.002041,-1.0,74.0,148.0,3092.0
1000,0.059122,1.0,66.0,4997.0,4997.0
1001,0.010662,-1.0,101.0,2963.0,3095.0
1002,0.059475,-1.0,66.0,2828.0,3092.0
1003,0.004758,1.0,66.0,1230.0,3094.0
1004,0.017861,-1.0,140.0,1796.0,3026.0
1005,0.055601,-1.0,66.0,3005.0,3005.0
1006,0.005967,1.0,130.0,1360.0,3094.0
1007,0.066975,1.0,568.0,2600.0,2873.0
1008,0.013861,-1.0,66.0,2525.0,2886.0
1009,0.002466,1.0,66.0,413.0,3778.0
1010,0.007508,1.0,130.0,1360.0,3025.0
1011,0.008777,-1.0,230.0,1516.0,3608.0
1012,0.065059,1.0,236.0,6139.0,7570.0
1013,0.002284,-1.0,144.0,1528.0,7513.0
1014,0.008428,1.0,66.0,2599.0,3092.0
1015,0.002491,-1.0,66.0,1523.0,3762.0
1016,0.044185,1.0,97.0,2762.0,3158.0
1017,0.010005,-1.0,101.0,2895.0,3027.0
1018,0.052643,-1.0,140.0,2768.0,3107.0
1019,0.011149,1.0,567.0,2163.0,3092.0
1020,0.011162,1.0,567.0,2599.0,3092.0
1021,0.007515,1.0,236.0,1596.0,3008.0
1022,0.049753,1.0,66.0,3906.0,3906.0
1023,0.006958,1.0,567.0,2163.0,3092.0
1024,0.001498,-1.0,150.0,216.0,729.0
1025,0.044959,-1.0,66.0,1475.0,3618.0
1026,0.047879,1.0,66.0,1296.0,3226.0
1027,0.053118,-1.0,66.0,2831.0,3095.0
1028,0.088668,-1.0,66.0,3159.0,3159.0
